@relation deritative-15-clusters-30k-unit-0.01

@attribute x-value numeric
@attribute y-value numeric
@attribute label {C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15}

@data
665287,551589,C1
665805,551567,C1
666061,552003,C1
666062,551710,C1
664352,551879,C1
665598,551085,C1
667556,558463,C1
667477,558968,C1
667760,559022,C1
666170,559752,C1
666165,559518,C1
667609,558609,C1
597989,576509,C1
597833,577239,C1
597284,576789,C1
598975,576990,C1
597489,576026,C1
598638,576297,C1
619657,553344,C1
619332,551844,C1
619624,552012,C1
619330,552169,C1
619423,552452,C1
619336,551521,C1
637513,608337,C1
637028,608958,C1
636753,609127,C1
635717,609215,C1
637181,608318,C1
636819,609856,C1
590038,557757,C1
588899,558217,C1
588342,559310,C1
588227,557593,C1
588382,558185,C1
588834,558468,C1
583879,547596,C1
582305,547634,C1
583769,546737,C1
582732,546825,C1
582391,546374,C1
583636,547581,C1
606576,576086,C1
606102,575029,C1
605585,575232,C1
605678,575515,C1
606372,575153,C1
606202,576372,C1
572989,520034,C1
573420,518774,C1
573125,518931,C1
573034,519030,C1
573921,520237,C1
573938,519786,C1
606086,576160,C1
605440,574900,C1
605257,575034,C1
605446,576253,C1
605152,576410,C1
605558,575380,C1
578660,589197,C1
578069,589306,C1
578593,589307,C1
577877,587624,C1
578862,587723,C1
578673,588930,C1
603812,576527,C1
603090,575257,C1
603741,575425,C1
602693,574904,C1
603145,575187,C1
603848,576210,C1
629930,574958,C1
629901,575620,C1
629063,575828,C1
629042,575372,C1
628873,576591,C1
629272,574678,C1
609131,537236,C1
608976,537966,C1
607959,538066,C1
607402,537158,C1
608297,538823,C1
608473,538957,C1
604251,575315,C1
603267,575357,C1
604958,575558,C1
604285,576617,C1
604325,576705,C1
603342,574987,C1
673073,573698,C1
672583,573062,C1
672613,572165,C1
673897,572482,C1
672188,572651,C1
673696,572922,C1
612786,571436,C1
613216,572177,C1
613353,571200,C1
613446,571483,C1
613953,571021,C1
612339,572126,C1
601396,576481,C1
600240,576478,C1
600628,575581,C1
601777,575852,C1
600228,576136,C1
600045,576270,C1
628509,594602,C1
629425,595275,C1
628325,594418,C1
628205,595446,C1
628781,594111,C1
627929,594383,C1
603184,604755,C1
602370,605267,C1
603257,604473,C1
