@relation deritative-aggregation-30k-unit-0.01

@attribute x-value numeric
@attribute y-value numeric
@attribute label {C2,C4,C3,C1,C5}

@data
466679,859671,C2
466859,859943,C2
467062,859514,C2
467097,859561,C2
466883,859893,C2
467047,859933,C2
466741,859798,C2
466861,859525,C2
466868,859610,C2
466881,859619,C2
467035,859724,C2
466764,860061,C2
467098,859510,C2
466564,859558,C2
466624,859924,C2
466691,859971,C2
466620,860001,C2
467001,859564,C2
466734,859615,C2
466684,859771,C2
466645,859801,C2
466620,860055,C2
466968,859599,C2
466532,859626,C2
466964,859676,C2
466607,859758,C2
467028,860075,C2
466598,859701,C2
466755,859596,C2
466782,860058,C2
466568,859789,C2
466909,859870,C2
467079,859955,C2
466773,859982,C2
467064,859698,C2
466627,859739,C2
466635,859824,C2
466537,859906,C2
466885,860051,C2
466768,860060,C2
447554,826612,C2
447214,826916,C2
447118,826977,C2
447445,826841,C2
447238,826603,C2
447070,826633,C2
447506,827099,C2
447239,826549,C2
447187,826726,C2
447189,826928,C2
447302,827023,C2
447225,826576,C2
447260,826623,C2
447039,826769,C2
447301,826795,C2
447212,826880,C2
447005,826642,C2
447279,827069,C2
447215,826529,C2
447222,826614,C2
447048,826977,C2
447240,826958,C2
447581,827039,C2
447149,826524,C2
447465,826831,C2
447505,826916,C2
447267,826908,C2
447129,826838,C2
447084,826600,C2
447379,827065,C2
447445,826511,C2
447428,826822,C2
447200,826904,C2
447208,826989,C2
447002,826981,C2
447224,826746,C2
447565,826827,C2
447527,826857,C2
447383,826749,C2
447106,827067,C2
433734,850604,C2
433657,850758,C2
434051,850519,C2
433785,850570,C2
433812,851032,C2
433776,850797,C2
433762,850682,C2
433770,850767,C2
433672,850849,C2
433654,850559,C2
433713,851021,C2
433924,850778,C2
433755,850829,C2
433690,850890,C2
433673,850600,C2
433603,851062,C2
434014,851092,C2
433878,850690,C2
433664,851022,C2
433691,850883,C2
433731,850968,C2
433819,850688,C2
433827,850773,C2
433599,850855,C2
434018,850836,C2
433843,850598,C2
433513,850635,C2
433971,850526,C2
433932,850556,C2
433595,850933,C2
433764,851018,C2
434027,851044,C2
433806,850589,C2
434050,850670,C2
434058,850755,C2
433751,850782,C2
434008,850533,C2
434042,850573,C2
433905,850503,C2
434056,851082,C2
425082,864436,C2
424949,864161,C2
425015,864208,C2
425023,864293,C2
424587,864320,C2
424935,864465,C2
424577,864561,C2
424668,864591,C2
425062,864352,C2
424795,864403,C2
424959,864329,C2
424790,864481,C2
424865,864024,C2
424903,864238,C2
424814,864323,C2
424841,864184,C2
424856,864495,C2
424830,864148,C2
424531,864199,C2
424591,864060,C2
424573,864371,C2
424509,864311,C2
424517,864396,C2
424583,864443,C2
424598,864153,C2
424939,864234,C2
424859,864477,C2
424925,864524,C2
424547,864527,C2
424756,864589,C2
425067,864297,C2
424899,864130,C2
424634,864214,C2
424975,864295,C2
425068,864060,C2
424633,864087,C2
424928,864552,C2
424779,864081,C2
425076,864079,C2
424594,864099,C2
412812,841597,C2
412644,841782,C2
412870,841512,C2
412929,841527,C2
412969,841612,C2
412500,841653,C2
413010,841798,C2
412914,841845,C2
413084,841930,C2
412856,842012,C2
412838,841722,C2
413044,841927,C2
412777,841978,C2
412731,841863,C2
412511,842009,C2
412852,842090,C2
412879,841505,C2
412852,841726,C2
412886,841773,C2
412901,842084,C2
412510,841579,C2
412708,842044,C2
413024,841750,C2
413064,841835,C2
412621,841764,C2
412961,841812,C2
412596,842072,C2
412604,841556,C2
412711,841768,C2
412567,841633,C2
412961,841995,C2
412695,842046,C2
413035,841526,C2
412997,841556,C2
412693,841919,C2
412810,841628,C2
412975,841668,C2
413035,842034,C2
412501,842082,C2
412998,841517,C2
400591,853776,C2
400938,853774,C2
401004,853821,C2
400751,853967,C2
400864,854062,C2
401033,853661,C2
401056,853524,C2
400548,853891,C2
400810,853917,C2
400721,854002,C2
400885,854049,C2
400537,854060,C2
400924,853790,C2
400829,853837,C2
400998,853922,C2
401078,854064,C2
401040,854094,C2
400756,853747,C2
400574,853729,C2
400816,853824,C2
400877,853589,C2
401043,853615,C2
400591,853926,C2
400985,853687,C2
400554,853773,C2
400816,853799,C2
401087,853835,C2
401076,853576,C2
401005,853606,C2
400778,853688,C2
400902,853704,C2
401022,854032,C2
401030,853516,C2
400604,854064,C2
400985,853608,C2
400516,853649,C2
400685,853734,C2
401026,853815,C2
401041,853525,C2
401044,853558,C2
390220,875049,C2
390066,874594,C2
390333,874780,C2
390237,875043,C2
390344,874661,C2
390437,874663,C2
390270,874848,C2
390229,874893,C2
390149,874535,C2
390384,874721,C2
390131,874665,C2
390415,874831,C2
390031,874951,C2
390104,874536,C2
390470,874585,C2
390166,874753,C2
390338,874998,C2
390514,875027,C2
390300,874758,C2
390432,874798,C2
390109,875021,C2
390136,874882,C2
390229,874647,C2
390053,874674,C2
390484,874603,C2
390256,874685,C2
390469,874947,C2
390405,875008,C2
390445,875093,C2
390185,874574,C2
390329,874885,C2
390356,874746,C2
390397,874831,C2
390047,874524,C2
390382,874574,C2
390576,874514,C2
390506,874544,C2
390331,874907,C2
390202,874806,C2
390263,874970,C2
403531,825103,C2
403926,825256,C2
403751,825255,C2
403734,825566,C2
403635,825047,C2
403608,825598,C2
403739,825037,C2
403703,825403,C2
403730,825264,C2
403770,825349,C2
403634,825548,C2
403900,825100,C2
404019,825428,C2
403713,825293,C2
404085,825388,C2
403505,825098,C2
403662,825025,C2
403933,825061,C2
403967,825108,C2
403982,825419,C2
403884,825501,C2
404056,825551,C2
403685,825578,C2
403746,825343,C2
403813,825390,C2
403820,825475,C2
403826,825298,C2
403612,825029,C2
403953,825110,C2
403994,825195,C2
403524,825236,C2
403775,825381,C2
403548,825463,C2
404078,825492,C2
404033,825254,C2
403800,825291,C2
403965,825317,C2
403795,825247,C2
404091,825022,C2
403941,825004,C2
408005,795464,C2
408135,795064,C2
408202,795111,C2
408209,795196,C2
408035,795559,C2
408058,795373,C2
408387,795270,C2
408180,795032,C2
408013,795062,C2
408549,795122,C2
408557,795207,C2
408269,795489,C2
408460,795052,C2
408467,795137,C2
408527,795599,C2
408588,795364,C2
408445,795249,C2
408374,795286,C2
408278,795333,C2
408422,795043,C2
408162,795125,C2
408203,795210,C2
408543,795291,C2
408429,795001,C2
408358,795477,C2
408195,795113,C2
408020,795592,C2
408375,795322,C2
408069,795349,C2
408239,795434,C2
408319,795576,C2
408359,795060,C2
408491,795100,C2
408402,795185,C2
408195,795548,C2
408156,795578,C2
408179,795441,C2
408106,795472,C2
408061,795234,C2
408253,795215,C2
384193,820969,C2
384124,820532,C2
384058,820567,C2
384445,820898,C2
384180,820982,C2
384312,821022,C2
384284,820972,C2
384077,820734,C2
384511,820763,C2
384073,820811,C2
384030,820991,C2
384297,820576,C2
384201,820637,C2
384162,820667,C2
384000,820735,C2
384434,820974,C2
384500,821021,C2
384177,820643,C2
384185,820930,C2
384095,821015,C2
384122,820876,C2
384216,820641,C2
384039,820668,C2
384047,820753,C2
384113,820800,C2
384259,821037,C2
384524,820589,C2
384381,820602,C2
384292,820687,C2
