@relation deritative-spiral-30k-unit-0.01

@attribute x-value numeric
@attribute y-value numeric
@attribute label {C3,C1,C2}

@data
961406,244072,C3
961261,241689,C3
960112,238718,C3
958953,239223,C3
964140,239692,C3
958529,243349,C3
961733,241961,C3
960573,242466,C3
960278,239676,C3
961280,241552,C3
959908,240472,C3
964418,243328,C3
963307,240808,C3
958922,241313,C3
959698,241715,C3
958837,242564,C3
959274,239840,C3
963970,239657,C3
959037,238798,C3
964211,239081,C3
958947,242703,C3
963789,243207,C3
963185,243141,C3
959894,243956,C3
962761,241266,C3
962847,241738,C3
962617,242102,C3
959026,242573,C3
958669,239883,C3
961663,238734,C3
960801,239583,C3
963211,240053,C3
958504,243712,C3
964337,243975,C3
961627,238683,C3
960813,239153,C3
964328,242258,C3
961233,242866,C3
963598,243715,C3
958666,241344,C3
964311,238653,C3
964245,239468,C3
959860,239973,C3
962270,240443,C3
962662,244099,C3
960212,238500,C3
962168,243146,C3
962690,239678,C3
961106,242786,C3
963516,243256,C3
959364,240353,C3
959802,243630,C3
963989,239569,C3
958703,240072,C3
964059,241493,C3
963547,241792,C3
962731,242262,C3
963123,239917,C3
959832,240732,C3
963014,241919,C3
959358,240977,C3
960974,241481,C3
958934,239102,C3
964073,239950,C3
960485,240421,C3
960874,240722,C3
962538,244202,C3
962024,238500,C3
962947,243251,C3
964239,240908,C3
964071,241172,C3
962651,240471,C3
959989,240801,C3
960278,243906,C3
961115,238722,C3
961828,239224,C3
960382,240179,C3
963897,243284,C3
961100,241897,C3
962562,242744,C3
963296,240364,C3
962137,240869,C3
961322,239784,C3
963687,240633,C3
960760,242193,C3
963459,238551,C3
963886,243165,C3
963529,240475,C3
960585,240740,C3
964142,242965,C3
962425,243433,C3
959689,244285,C3
961268,241492,C3
960340,238589,C3
959374,239402,C3
959918,242715,C3
958804,242841,C3
963943,243689,C3
963878,238503,C3
964167,241608,C3
936365,223494,C3
935092,224993,C3
937959,222303,C3
934667,223118,C3
939509,223622,C3
939341,223886,C3
938830,221539,C3
935539,222354,C3
937749,219652,C3
934507,221912,C3
938166,223365,C3
939582,220929,C3
938784,221070,C3
937922,221919,C3
938493,223358,C3
934536,224815,C3
937440,219421,C3
938218,219526,C3
935084,222838,C3
938288,221450,C3
937129,221955,C3
937205,219595,C3
939915,220409,C3
939404,220708,C3
938449,221192,C3
939534,224263,C3
935107,224632,C3
940291,219100,C3
938871,224400,C3
936730,221470,C3
935571,221975,C3
936000,222927,C3
937462,223774,C3
938547,220844,C3
940162,221348,C3
934588,219962,C3
939090,222325,C3
939527,219601,C3
935482,224248,C3
938416,219022,C3
937903,219321,C3
938638,222942,C3
936398,221592,C3
938808,222062,C3
935974,219717,C3
939031,219981,C3
938170,220830,C3
934921,221781,C3
935209,224886,C3
940354,219218,C3
936069,224720,C3
935255,219189,C3
938769,222294,C3
935970,220907,C3
937432,221754,C3
939011,224962,C3
935374,219811,C3
937786,220281,C3
936925,221130,C3
937216,223720,C3
938832,224224,C3
935909,223348,C3
939434,223284,C3
936629,222927,C3
939145,223433,C3
938177,224246,C3
938466,221350,C3
938400,222165,C3
935666,223017,C3
935433,221868,C3
936317,223322,C3
939027,224136,C3
940489,224983,C3
938348,222053,C3
939919,222421,C3
939853,223236,C3
936116,223535,C3
937677,220463,C3
936815,221312,C3
939873,221576,C3
939355,220877,C3
940090,224498,C3
936948,223146,C3
936134,223616,C3
939649,220720,C3
940075,221672,C3
935538,222520,C3
935327,222648,C3
934968,219958,C3
937669,221802,C3
940034,222651,C3
938571,221772,C3
938057,222071,C3
939629,223970,C3
938469,224475,C3
938301,224739,C3
938691,222394,C3
939528,223211,C3
936717,223369,C3
936652,224184,C3
916644,202087,C3
917845,201728,C3
917342,202213,C3
916486,202547,C3
915975,200200,C3
915807,200464,C3
918171,201313,C3
919041,203096,C3
913817,203499,C3
918956,204347,C3
915365,204818,C3
917973,204784,C3
916714,202092,C3
917551,202909,C3
916689,203758,C3
917466,204160,C3
916810,201126,C3
914302,201113,C3
916666,201962,C3
919376,202776,C3
916242,200087,C3
918397,200349,C3
916889,199849,C3
919063,201406,C3
915323,201705,C3
916160,202522,C3
915928,202886,C3
914042,200164,C3
914866,202526,C3
918068,201138,C3
916909,201643,C3
918488,204851,C3
914851,199700,C3
916100,204963,C3
918361,205261,C3
916323,202882,C3
915953,201529,C3
916791,202346,C3
917079,205451,C3
918138,199917,C3
916339,201937,C3
919048,202751,C3
917889,203256,C3
916343,204676,C3
914820,203424,C3
913852,204237,C3
917019,201891,C3
917795,202293,C3
916934,203142,C3
916291,204564,C3
915429,205413,C3
918487,199676,C3
913947,200524,C3
914539,203458,C3
916903,204307,C3
913547,203709,C3
918132,204005,C3
919361,205424,C3
915724,200273,C3
917499,202258,C3
919112,202762,C3
917566,204182,C3
919182,204686,C3
916836,199638,C3
919448,202741,C3
918889,203419,C3
917729,202369,C3
914437,203184,C3
913927,200837,C3
914353,205451,C3
916615,199748,C3
916693,203389,C3
917122,204341,C3
916608,204640,C3
919318,205454,C3
919299,200905,C3
916008,201720,C3
917713,200468,C3
917502,203951,C3
913765,204250,C3
917417,205202,C3
916556,200050,C3
918544,203123,C3
918174,201770,C3
918109,202585,C3
917598,200238,C3
917429,200502,C3
913793,201352,C3
918742,202908,C3
915636,203033,C3
918977,203362,C3
918115,204211,C3
915172,204476,C3
918336,202130,C3
917191,201090,C3
919452,201388,C3
914230,205146,C3
916595,199994,C3
916426,200258,C3
915907,199559,C3
894682,180014,C3
894667,181666,C3
891533,184978,C3
893945,185448,C3
893084,180296,C3
895135,181130,C3
892994,184201,C3
893762,182997,C3
892900,183846,C3
893677,184248,C3
893756,181888,C3
896022,183402,C3
894862,183907,C3
895289,182520,C3
892455,180175,C3
896413,180441,C3
891127,180944,C3
896205,185865,C3
893071,183176,C3
892905,183440,C3
891098,184151,C3
896931,184414,C3
891321,182070,C3
894029,182884,C3
892870,183389,C3
892746,183789,C3
894217,180960,C3
896629,181430,C3
891982,180729,C3
895943,180995,C3
896333,184651,C3
893535,183264,C3
895934,185279,C3
896363,180230,C3
892146,181687,C3
891980,181951,C3
894344,182800,C3
891402,180419,C3
896541,181267,C3
893735,185356,C3
892873,180204,C3
891029,183619,C3
894296,184470,C3
894128,184734,C3
896492,185583,C3
895278,182512,C3
894119,183017,C3
894954,183834,C3
892614,185288,C3
893391,185690,C3
894746,184988,C3
893778,185801,C3
896942,183455,C3
894001,183720,C3
893632,182367,C3
892494,185991,C3
894859,180839,C3
892409,181241,C3
893727,181401,C3
891646,184479,C3
892855,183090,C3
896816,180710,C3
892279,181558,C3
892111,181822,C3
892995,183276,C3
893423,184228,C3
893812,184529,C3
896522,185343,C3
896912,182998,C3
896438,181609,C3
894938,183973,C3
893393,185393,C3
891869,184141,C3
891998,184749,C3
893760,185940,C3
891746,184333,C3
896588,184837,C3
891816,180256,C3
893278,181103,C3
896829,181504,C3
893698,184816,C3
892984,184282,C3
892122,185131,C3
894388,184914,C3
891552,182569,C3
894991,181825,C3
896203,184288,C3
891988,185745,C3
895345,180352,C3
891095,182574,C3
892325,183993,C3
896906,183291,C3
892387,183903,C3
892668,185699,C3
895683,182165,C3
891946,182464,C3
894993,181419,C3
892159,185075,C3
894858,185703,C3
892058,184316,C3
869603,167513,C3
868472,168186,C3
868620,170089,C3
867467,169564,C3
867147,170171,C3
868808,172435,C3
869205,171706,C3
869497,168295,C3
867132,167753,C3
868781,169831,C3
869566,169203,C3
872103,170596,C3
869925,166500,C3
868620,172319,C3
867404,168032,C3
868149,167276,C3
868249,169558,C3
868718,168307,C3
868508,170574,C3
869985,171700,C3
872168,172227,C3
868754,167334,C3
869649,167758,C3
870840,166995,C3
868152,171338,C3
867333,170592,C3
868408,172354,C3
870382,171278,C3
867692,167889,C3
870112,167329,C3
869958,169403,C3
872959,167224,C3
868618,169489,C3
869118,169311,C3
872687,171007,C3
870168,170808,C3
867043,167089,C3
871940,172185,C3
869163,167916,C3
869036,169439,C3
870902,168327,C3
871302,170953,C3
870483,170207,C3
871874,166591,C3
870468,171859,C3
868139,168106,C3
868718,168515,C3
872412,168090,C3
867197,168479,C3
870193,169451,C3
868889,169269,C3
872459,170965,C3
868831,170785,C3
869266,166845,C3
869403,172424,C3
869249,168497,C3
872885,167954,C3
872248,168346,C3
870953,169473,C3
872325,171579,C3
871211,170489,C3
869013,166629,C3
872423,170316,C3
871607,166924,C3
867578,171850,C3
871592,168576,C3
870773,167830,C3
867496,170455,C3
870562,169689,C3
867436,171971,C3
869846,171225,C3
872912,167813,C3
872407,167082,C3
872196,169349,C3
872666,168098,C3
871191,170727,C3
869472,169979,C3
870260,166705,C3
868808,170282,C3
868895,166892,C3
868284,172126,C3
871161,168406,C3
869621,168796,C3
872031,168050,C3
868905,170332,C3
868294,169565,C3
869955,171829,C3
868066,167483,C3
871702,166940,C3
869614,167586,C3
870059,169833,C3
872135,169308,C3
867538,171365,C3
872175,169254,C3
870701,171883,C3
868981,171135,C3
871605,166692,C3
867976,166512,C3
869266,168346,C3
872109,169661,C3
843239,154392,C3
842236,155770,C3
845549,152380,C3
843541,151474,C3
841812,153895,C3
844364,155943,C3
843320,152808,C3
843566,152422,C3
844790,152625,C3
846029,155353,C3
842428,153299,C3
842360,155845,C3
846887,152472,C3
841790,152067,C3
844421,152595,C3
844354,152194,C3
847229,154475,C3
846814,153501,C3
844423,150456,C3
846541,150067,C3
843777,150254,C3
847132,153001,C3
845463,151062,C3
846793,151816,C3
844904,151740,C3
845541,151956,C3
845976,154017,C3
842539,154145,C3
842539,155876,C3
845347,150024,C3
847274,150343,C3
846601,150284,C3
845775,152707,C3
843980,152889,C3
843307,152830,C3
842481,155253,C3
846752,153195,C3
842893,155926,C3
847344,150128,C3
846193,155604,C3
843906,151987,C3
841883,155898,C3
842026,152315,C3
844463,152034,C3
842309,152580,C3
844427,152191,C3
845159,154596,C3
845018,155125,C3
844011,155287,C3
845238,155490,C3
842151,155068,C3
842883,151472,C3
846396,152238,C3
841735,152163,C3
846519,153876,C3
843639,154041,C3
842389,154589,C3
845794,154303,C3
844857,154866,C3
844563,154425,C3
847451,155161,C3
844506,151564,C3
844641,155319,C3
844157,151706,C3
843187,151303,C3
847348,151863,C3
841794,154111,C3
846823,153707,C3
845648,150679,C3
847044,154072,C3
844126,150940,C3
846833,150538,C3
841758,152129,C3
846476,151710,C3
843990,152477,C3
844722,154882,C3
846059,154806,C3
845483,155005,C3
842754,153272,C3
843337,151235,C3
842041,150023,C3
847363,150993,C3
847102,153031,C3
845651,152162,C3
846388,155783,C3
844938,154914,C3
841860,150816,C3
842081,151789,C3
847221,152637,C3
843845,154196,C3
846252,155181,C3
847208,155505,C3
847201,154099,C3
843148,150521,C3
846196,154261,C3
843909,150644,C3
841829,150260,C3
842256,151012,C3
843493,153740,C3
846692,151136,C3
819258,139725,C3
818695,141536,C3
821253,136692,C3
821216,137257,C3
820604,142491,C3
816265,138755,C3
819540,138576,C3
818536,141079,C3
817814,138860,C3
821448,138317,C3
817098,140396,C3
816919,138572,C3
821191,140992,C3
816092,140587,C3
819329,140773,C3
818323,140935,C3
819056,137339,C3
818641,142366,C3
819041,138991,C3
820265,139194,C3
818370,140148,C3
820743,139967,C3
818292,140169,C3
818738,142416,C3
820855,142027,C3
821434,138774,C3
817707,137528,C3
818107,140154,C3
817368,142344,C3
821279,138519,C3
817985,138118,C3
818231,141087,C3
816197,140324,C3
820351,141914,C3
817984,141372,C3
816855,137965,C3
816198,137577,C3
817423,137780,C3
821137,140163,C3
821927,141359,C3
821350,141558,C3
820261,140933,C3
819545,142469,C3
818039,136808,C3
816321,137684,C3
819696,141936,C3
818910,138494,C3
816605,139383,C3
818734,137449,C3
820752,138133,C3
816845,141243,C3
818315,139329,C3
818472,140202,C3
820489,140886,C3
818555,141189,C3
816250,142078,C3
820772,136881,C3
816141,137772,C3
820064,137387,C3
818694,139444,C3
820822,137510,C3
820620,138747,C3
817059,141307,C3
817026,139733,C3
817182,140606,C3
821183,137146,C3
820179,141578,C3
816764,142486,C3
821257,136824,C3
819109,141543,C3
816972,141760,C3
817850,138851,C3
817698,137055,C3
820618,137741,C3
819213,138632,C3
817024,138727,C3
818394,139617,C3
816073,140835,C3
818696,141177,C3
816760,141480,C3
818132,142370,C3
818934,137036,C3
818601,141119,C3
818072,137885,C3
819445,138775,C3
817896,136840,C3
819422,139726,C3
816007,140634,C3
820900,138513,C3
819558,141035,C3
820929,141925,C3
819488,140026,C3
821915,136913,C3
820510,137804,C3
821992,140522,C3
816134,136940,C3
817507,137830,C3
818977,141917,C3
819287,138785,C3
820659,139675,C3
793085,127978,C3
791422,125524,C3
796485,126086,C3
795380,127321,C3
793339,127588,C3
791832,127928,C3
794420,128835,C3
795287,127263,C3
791413,129808,C3
792812,125162,C3
793281,128696,C3
796002,125319,C3
793970,124556,C3
795342,125446,C3
795451,126698,C3
791748,126432,C3
795428,127649,C3
